iter	Logloss
0	0.5683221519
1	0.4751831058
2	0.4076078823
3	0.3562842353
4	0.3193308135
5	0.2894904921
6	0.267869838
7	0.2505074338
8	0.2373911947
9	0.2270236204
10	0.2188384519
11	0.2123630214
12	0.2072383694
13	0.2032215404
14	0.1998597231
15	0.1972188209
16	0.1950582781
17	0.1929508847
18	0.1911901533
19	0.1897563724
20	0.1885229135
21	0.1874147987
22	0.1864059283
23	0.1854632712
24	0.1847623802
25	0.184030689
26	0.183411166
27	0.1828086869
28	0.1822616056
29	0.1817376288
30	0.1813023185
31	0.1808632473
32	0.18049964
33	0.1801777656
34	0.1798615601
35	0.1795801711
36	0.1793385872
37	0.1790793536
38	0.1788154256
39	0.178598709
40	0.1784048466
41	0.1782401874
42	0.178057747
43	0.177912535
44	0.1777343165
45	0.1775840002
46	0.1774525525
47	0.1773251961
48	0.1771811219
49	0.1770568731
50	0.1769417791
51	0.176858489
52	0.1767653802
53	0.1766621332
54	0.17657805
55	0.1765080499
56	0.1764272192
57	0.1763589493
58	0.1762766834
59	0.1762088247
60	0.1761569831
61	0.1760945145
62	0.1760328552
63	0.175974173
64	0.1759300396
65	0.1758793417
66	0.1758278847
67	0.175760245
68	0.1757209836
69	0.1756753256
70	0.1756100168
71	0.1755623183
72	0.1755248155
73	0.1754797931
74	0.1754342915
75	0.1753976933
76	0.1753578119
77	0.1753217096
78	0.1752693218
79	0.1752277778
80	0.175183739
81	0.1751411885
82	0.1750989951
83	0.1750540585
84	0.1750057582
85	0.1749638028
86	0.1749309247
87	0.174901258
88	0.1748536531
89	0.1748257239
90	0.174799201
91	0.17474722
92	0.1747262463
93	0.1746854582
94	0.1746439316
95	0.1746066947
96	0.1745821576
97	0.1745400742
98	0.1745075712
99	0.1744561716
100	0.1744153445
101	0.1743725031
102	0.1743369204
103	0.1742964894
104	0.1742510022
105	0.174217175
106	0.1741735628
107	0.1741332969
108	0.1741045153
109	0.1740673903
110	0.1740197667
111	0.1739924183
112	0.1739566135
113	0.1739060324
114	0.1738702022
115	0.1738299188
116	0.1737939214
117	0.1737723613
118	0.1737345826
119	0.1736996088
120	0.1736489289
121	0.1736080521
122	0.1735841945
123	0.1735594392
124	0.1735230333
125	0.1734951458
126	0.1734514084
127	0.1734178829
128	0.1733737382
129	0.1733443627
130	0.1733024617
131	0.1732691856
132	0.1732331545
133	0.1732008019
134	0.173165868
135	0.1731311023
136	0.1731001671
137	0.1730617985
138	0.1730324286
139	0.1729942637
140	0.1729508044
141	0.1729101875
142	0.1728787542
143	0.1728333282
144	0.1727900568
145	0.1727483694
146	0.1727196477
147	0.1726698811
148	0.1726281397
149	0.1725886563
150	0.1725566335
151	0.1725163492
152	0.1724781089
153	0.1724286805
154	0.1723942355
155	0.1723586647
156	0.1723150372
157	0.1722755576
158	0.1722220862
159	0.1721839004
160	0.1721360893
161	0.1720882256
162	0.1720440361
163	0.1720030353
164	0.1719666458
165	0.1719341469
166	0.171900404
167	0.1718652097
168	0.1718355381
169	0.1717999048
170	0.1717447477
171	0.1717112333
172	0.1716692218
173	0.1716315491
174	0.1715963573
175	0.1715608319
176	0.1715282904
177	0.1714875618
178	0.1714583237
179	0.1714253142
180	0.1713901215
181	0.1713577975
182	0.1713111924
183	0.1712801614
184	0.1712382698
185	0.17120688
186	0.1711870598
187	0.1711474439
188	0.1711179218
189	0.1710896846
190	0.1710530383
191	0.1710175307
192	0.1709805923
193	0.170946291
194	0.1709172383
195	0.17089895
196	0.1708629465
197	0.1708355587
198	0.1707976704
199	0.1707607341
200	0.1707314414
201	0.1707072688
202	0.1706835215
203	0.1706633959
204	0.1706483464
205	0.1706179823
206	0.1705844098
207	0.1705494804
208	0.1705187046
209	0.1704935122
210	0.1704580127
211	0.1704242329
212	0.170393277
213	0.1703552244
214	0.1703385538
215	0.1703068549
216	0.1702760913
217	0.1702514022
218	0.1702157022
219	0.1701865132
220	0.1701671368
221	0.1701350662
222	0.1701259371
223	0.1700925763
224	0.1700644981
225	0.1700354803
226	0.1700043348
227	0.1699667854
228	0.16993474
229	0.1699023058
230	0.1698672273
231	0.169834707
232	0.1698100239
233	0.1697742721
234	0.1697504511
235	0.1697293288
236	0.1696967695
237	0.1696728756
238	0.1696466963
239	0.1696060864
240	0.1695746378
241	0.1695552416
242	0.1695245368
243	0.1695032981
244	0.1694760331
245	0.1694518251
246	0.1694358935
247	0.1694170123
248	0.1693847792
249	0.169355673
250	0.1693298537
251	0.1693035713
252	0.1692788595
253	0.1692473076
254	0.1692308137
255	0.1692082821
256	0.1691816444
257	0.1691533647
258	0.1691241942
259	0.1690939164
260	0.1690660342
261	0.1690476494
262	0.1690158371
263	0.1689907336
264	0.1689692602
265	0.1689373127
266	0.1689051589
267	0.1688784769
268	0.1688536355
269	0.1688288788
270	0.1688034002
271	0.1687788356
272	0.1687580479
273	0.1687426637
274	0.1687125609
275	0.1686812825
276	0.1686521229
277	0.1686386595
278	0.1686145294
279	0.168578672
280	0.1685584656
281	0.1685288911
282	0.1685136529
283	0.1684909323
284	0.168467216
285	0.1684422162
286	0.1684194463
287	0.1683900224
288	0.1683608722
289	0.1683401007
290	0.168310741
291	0.1682838943
292	0.168263782
293	0.1682475352
294	0.1682230933
295	0.1681993096
296	0.1681804708
297	0.1681612411
298	0.1681356159
299	0.1681142347
300	0.1680892204
301	0.1680641946
302	0.1680368041
303	0.1680203895
304	0.1679923652
305	0.1679631204
306	0.1679452833
307	0.167920818
308	0.1678946171
309	0.1678663494
310	0.1678404222
311	0.1678081206
312	0.1677837937
313	0.1677551895
314	0.1677311644
315	0.1677023062
316	0.1676824168
317	0.1676610095
318	0.1676326537
319	0.167605318
320	0.1675944798
321	0.167570696
322	0.167550191
323	0.1675227776
324	0.1675020103
325	0.1674861949
326	0.1674681675
327	0.1674479738
328	0.1674182397
329	0.1673951575
330	0.167370223
331	0.1673532627
332	0.1673292922
333	0.1673035214
334	0.1672831283
335	0.1672612121
336	0.1672436224
337	0.1672206114
338	0.1671977994
339	0.167174883
340	0.1671447438
341	0.1671247199
342	0.1671005349
343	0.1670721888
344	0.1670468674
345	0.1670241482
346	0.167011988
347	0.1669843639
348	0.1669578616
349	0.1669341226
350	0.1669122134
351	0.1668944385
352	0.1668773665
353	0.1668657675
354	0.1668519159
355	0.1668352246
