iter	Passed	Remaining
0	489	488868
1	837	417972
2	1280	425443
3	1666	414838
4	1974	392985
5	2249	372711
6	2632	373421
7	2914	361414
8	3165	348508
9	3434	340062
10	3680	330872
11	3928	323411
12	4168	316450
13	4425	311702
14	4673	306899
15	4974	305932
16	5288	305796
17	5617	306447
18	5911	305241
19	6189	303302
20	6448	300607
21	6801	302370
22	7170	304604
23	7420	301774
24	7713	300825
25	7974	298726
26	8218	296164
27	8489	294705
28	8770	293650
29	9044	292446
30	9328	291597
31	9588	290051
32	9852	288703
33	10108	287188
34	10358	285590
35	10596	283742
36	10859	282636
37	11112	281314
38	11376	280335
39	11630	279142
40	11904	278445
41	12174	277683
42	12408	276162
43	12646	274777
44	12883	273419
45	13140	272513
46	13375	271200
47	13653	270788
48	13904	269868
49	14155	268947
50	14439	268683
51	14683	267693
52	14919	266585
53	15190	266110
54	15423	265011
55	15684	264392
56	15961	264066
57	16222	263482
58	16493	263060
59	16763	262633
60	17033	262196
61	17290	261595
62	17593	261665
63	17837	260879
64	18096	260309
65	18376	260055
66	18643	259619
67	18918	259293
68	19187	258891
69	19431	258158
70	19692	257672
71	19958	257245
72	20245	257090
73	20494	256453
74	20749	255907
75	21070	256176
76	21307	255414
77	21659	256028
78	21948	255880
79	22175	255023
80	22425	254433
81	22704	254182
82	22983	253921
83	23268	253741
84	23546	253468
85	23809	253040
86	24056	252458
87	24335	252206
88	24594	251748
89	24822	250982
90	25094	250665
91	25372	250419
92	25617	249837
93	25934	249965
94	26239	249969
95	26543	249947
96	26815	249636
97	27085	249301
98	27333	248760
99	27617	248561
100	27878	248143
101	28165	247964
102	28414	247450
103	28683	247118
104	28945	246729
105	29206	246326
106	29474	245988
107	29756	245767
108	30026	245449
109	30299	245152
110	30575	244881
111	30841	244532
112	31110	244207
113	31383	243912
114	31683	243821
115	31961	243571
116	32210	243091
117	32465	242665
118	32728	242300
119	33020	242146
120	33320	242056
121	33611	241894
122	33877	241549
123	34142	241198
124	34413	240893
125	34671	240497
126	34944	240207
127	35236	240049
128	35520	239833
129	35806	239626
130	36051	239149
131	36313	238789
132	36578	238449
133	36903	238495
134	37164	238129
135	37421	237734
136	37683	237379
137	37956	237088
138	38208	236673
139	38468	236307
140	38723	235913
141	38991	235596
142	39251	235233
143	39521	234934
144	39795	234653
145	40058	234317
146	40352	234155
147	40721	234424
148	41050	234458
149	41307	234074
150	41593	233862
151	41877	233635
152	42151	233349
153	42422	233049
154	42699	232780
155	42970	232483
156	43256	232262
157	43502	231829
158	43806	231706
159	44087	231459
160	44372	231233
161	44639	230913
162	44908	230604
163	45194	230383
164	45492	230218
165	45762	229914
166	46050	229701
167	46328	229436
168	46649	229383
169	46970	229328
170	47324	229426
171	47662	229443
172	47998	229449
173	48323	229400
174	48633	229274
175	48951	229184
176	49271	229099
177	49570	228916
178	49895	228848
179	50233	228839
180	50548	228723
181	50840	228504
182	51177	228481
183	51496	228377
184	51819	228284
185	52085	227945
186	52311	227428
187	52603	227201
188	52892	226963
189	53154	226605
190	53429	226307
191	53688	225937
192	53947	225573
193	54222	225274
194	54510	225031
195	54754	224605
196	55047	224382
197	55303	224007
198	55581	223723
199	55868	223474
200	56147	223191
201	56388	222763
202	56642	222384
203	56910	222060
204	57151	221637
205	57446	221419
206	57715	221102
207	57998	220840
208	58263	220507
209	58531	220189
210	58812	219917
211	59078	219594
212	59339	219249
213	59629	219011
214	59936	218836
215	60205	218522
216	60462	218167
217	60722	217820
218	60987	217495
219	61243	217136
220	61472	216683
221	61729	216332
222	61988	215987
223	62341	215969
224	62621	215696
225	62883	215362
226	63160	215078
227	63436	214793
228	63802	214812
229	64119	214661
230	64398	214384
231	64663	214057
232	64929	213738
233	65184	213380
234	65432	213004
235	65723	212766
236	66009	212512
237	66282	212215
238	66548	211896
239	66827	211620
240	67104	211335
241	67383	211060
242	67659	210773
243	67949	210532
244	68229	210258
245	68520	210017
246	68786	209702
247	69066	209426
248	69365	209210
249	69693	209079
250	70011	208917
251	70266	208569
252	70526	208235
253	70813	207981
254	71044	207562
255	71295	207203
256	71613	207037
257	71898	206776
258	72154	206432
259	72424	206131
260	72680	205788
261	72940	205457
262	73205	205141
263	73465	204812
264	73735	204510
265	73998	204190
266	74263	203876
267	74523	203548
268	74807	203286
269	75077	202986
270	75358	202716
271	75626	202412
272	75936	202218
273	76168	201817
274	76487	201648
275	76807	201481
276	77118	201288
277	77425	201084
278	77710	200821
279	78030	200648
280	78334	200435
281	78619	200172
282	78874	199832
283	79147	199539
284	79431	199276
285	79707	198990
286	79975	198684
287	80264	198431
288	80574	198230
289	80858	197963
290	81121	197646
291	81390	197344
292	81654	197029
293	81960	196815
294	82242	196544
295	82516	196256
296	82783	195949
297	83057	195659
298	83352	195418
299	83666	195220
300	83923	194892
301	84206	194622
302	84471	194312
303	84703	193925
304	84967	193614
305	85240	193324
306	85524	193057
307	85805	192784
308	86065	192463
309	86342	192181
310	86603	191863
311	86918	191666
312	87211	191419
313	87505	191175
314	87748	190818
315	88017	190519
316	88292	190233
317	88553	189916
318	88829	189632
319	89091	189319
320	89312	188918
321	89580	188620
322	89835	188292
323	90104	187995
324	90382	187718
325	90652	187422
326	90919	187121
327	91172	186792
328	91437	186487
329	91693	186164
330	92080	186108
331	92376	185866
332	92682	185644
333	92982	185408
334	93223	185055
335	93496	184766
336	93780	184499
337	94027	184160
338	94287	183845
339	94560	183558
340	94834	183272
341	95131	183030
342	95391	182718
343	95660	182422
344	95942	182151
345	96206	181847
346	96441	181487
347	96735	181239
348	97012	180960
349	97298	180696
350	97580	180426
351	97851	180136
352	98131	179860
353	98354	179483
354	98630	179201
355	98887	178886
356	99142	178567
357	99412	178276
358	99661	177946
359	99913	177624
360	100193	177350
361	100507	177138
362	100814	176910
363	101103	176653
364	101373	176362
365	101666	176110
366	101947	175838
367	102216	175545
368	102488	175258
369	102763	174975
370	103027	174675
371	103307	174401
372	103600	174149
373	103871	173859
374	104128	173548
375	104406	173269
376	104686	172996
377	104954	172703
378	105223	172410
379	105479	172098
380	105745	171802
381	105979	171454
382	106245	171157
383	106516	170869
384	106776	170565
385	107063	170302
386	107356	170049
387	107667	169826
388	107933	169530
389	108198	169233
390	108454	168923
391	108727	168638
392	108991	168339
393	109277	168075
394	109551	167793
395	109831	167520
396	110096	167224
397	110384	166962
398	110661	166685
399	110935	166402
400	111206	166116
401	111478	165831
402	111757	165555
403	112046	165296
404	112346	165052
405	112637	164795
406	113002	164645
407	113366	164492
408	113716	164318
409	114032	164096
410	114346	163869
411	114679	163669
412	114968	163405
413	115219	163088
